packet_index,payload_symbol_index,gt_bin,top1_bin,gt_in_stage1_top_l,gt_stage1_rank,gt_in_viterbi_candidates,gt_viterbi_rank,top1_margin_db,top1_peak_to_median_db,top1_coherence,multi_bin,multi_hit,multi_error_type,v3_bin,v3_hit,v3_error_type,phase_line_bin,phase_line_hit,phase_line_error_type,phase_dp_first_bin,phase_dp_first_hit,phase_dp_first_error_type,phase_dp_second_bin,phase_dp_second_hit,phase_dp_second_error_type,phase_dp_second_anchor_bin,phase_dp_second_anchor_hit,phase_dp_second_anchor_error_type,dataset,target_snr_db
3,17,656,656,1,1,1,1,0.09410072978445108,5.213945653017139,0.9479026870418165,656,1,hit,656,1,hit,656,1,hit,656,1,hit,656,1,hit,656,1,hit,0_0_0_10_14_16,-22.0
3,18,889,889,1,1,1,1,2.0234773402525867,7.3618200474538,0.9361364466957329,889,1,hit,889,1,hit,889,1,hit,889,1,hit,889,1,hit,889,1,hit,0_0_0_10_14_16,-22.0
3,19,510,510,1,1,1,1,2.8326700095622837,9.27987167876694,0.9754191755317946,510,1,hit,510,1,hit,510,1,hit,510,1,hit,510,1,hit,510,1,hit,0_0_0_10_14_16,-22.0
3,20,860,860,1,1,1,1,1.328610329195898,6.604214865160199,0.9359064466998365,860,1,hit,860,1,hit,600,0,selectable_miss,860,1,hit,860,1,hit,860,1,hit,0_0_0_10_14_16,-22.0
3,21,553,553,1,1,1,1,1.1645834279655771,6.516665399868798,0.9975839020016802,553,1,hit,553,1,hit,553,1,hit,553,1,hit,553,1,hit,553,1,hit,0_0_0_10_14_16,-22.0
3,22,629,430,1,2,1,2,0.36286554775164287,5.751276729675618,0.3286267416460328,430,0,selectable_miss,629,1,hit,575,0,selectable_miss,629,1,hit,629,1,hit,629,1,hit,0_0_0_10_14_16,-22.0
3,23,759,759,1,1,1,1,2.391648411230813,8.660549231432137,0.9894046698073549,759,1,hit,759,1,hit,759,1,hit,759,1,hit,759,1,hit,759,1,hit,0_0_0_10_14_16,-22.0
3,24,874,874,1,1,1,1,1.0655247434666069,6.146835092835553,0.7927936534914481,874,1,hit,18,0,selectable_miss,874,1,hit,18,0,selectable_miss,18,0,selectable_miss,18,0,selectable_miss,0_0_0_10_14_16,-22.0
3,25,720,720,1,1,1,1,1.071451102627256,7.595286832309453,0.9378214418153064,720,1,hit,720,1,hit,720,1,hit,720,1,hit,720,1,hit,720,1,hit,0_0_0_10_14_16,-22.0
3,26,314,314,1,1,1,1,1.8343519546016802,7.196100674311692,0.9575157501189945,314,1,hit,314,1,hit,314,1,hit,314,1,hit,314,1,hit,314,1,hit,0_0_0_10_14_16,-22.0
3,27,602,602,1,1,1,1,3.0593920589629953,8.808503961891903,0.9029138569995548,602,1,hit,602,1,hit,602,1,hit,602,1,hit,602,1,hit,602,1,hit,0_0_0_10_14_16,-22.0
3,28,7,7,1,1,1,1,0.5438248844672595,6.126190538766696,0.9445062191997299,7,1,hit,7,1,hit,170,0,selectable_miss,7,1,hit,7,1,hit,7,1,hit,0_0_0_10_14_16,-22.0
3,29,610,610,1,1,1,1,1.6473669772970605,7.257263660792146,0.9208751433766906,610,1,hit,610,1,hit,610,1,hit,610,1,hit,610,1,hit,610,1,hit,0_0_0_10_14_16,-22.0
3,30,778,720,1,3,1,3,0.20420117967530352,5.794213999270407,0.6215701390912776,720,0,selectable_miss,778,1,hit,228,0,selectable_miss,778,1,hit,778,1,hit,778,1,hit,0_0_0_10_14_16,-22.0
3,31,897,897,1,1,1,1,0.6441865432840352,5.612628470944569,0.9507795927589813,897,1,hit,897,1,hit,897,1,hit,897,1,hit,897,1,hit,897,1,hit,0_0_0_10_14_16,-22.0
3,32,740,740,1,1,1,1,2.5042949088065254,8.656989071416785,0.8911466466656587,740,1,hit,740,1,hit,740,1,hit,740,1,hit,740,1,hit,740,1,hit,0_0_0_10_14_16,-22.0
3,33,590,590,1,1,1,1,0.9342122206655645,7.223006222256766,0.9055758632862468,590,1,hit,590,1,hit,227,0,selectable_miss,590,1,hit,590,1,hit,590,1,hit,0_0_0_10_14_16,-22.0
3,34,930,930,1,1,1,1,1.759053055043408,8.915966165116114,0.9577874914719097,930,1,hit,930,1,hit,930,1,hit,930,1,hit,930,1,hit,930,1,hit,0_0_0_10_14_16,-22.0
