dataset,packet_index,frame_index,payload_symbol_index,frame_symbol_index,gt_bin,case_index,noise_model,snr_db,seed,savaux_equal_bin,savaux_gls_bin,savaux_nus_joint_gls_bin,segmented_savaux_gls_bin,segmented_savaux_nus_gls_bin,cfr_whitened_ml_bin,savaux_equal_correct,savaux_gls_correct,savaux_nus_joint_gls_correct,segmented_savaux_gls_correct,segmented_savaux_nus_gls_correct,cfr_whitened_ml_correct,savaux_equal_margin_db,savaux_gls_margin_db,savaux_nus_joint_gls_margin_db,segmented_savaux_gls_margin_db,segmented_savaux_nus_gls_margin_db,cfr_whitened_ml_margin_db
0_0_0_10_14_32,0,0,28,36,7,28,awgn,-22.0,101,7,7,7,7,7,7,1,1,1,1,1,1,5.558059043171789,5.558059283203508,5.558059277178503,5.558059282368999,5.558059283181528,5.558059429802836
0_0_0_10_14_32,0,0,29,37,610,29,awgn,-22.0,101,610,610,610,610,610,610,1,1,1,1,1,1,5.125360170034589,5.125360336510283,5.125360335382502,5.125360332628967,5.125360328683092,5.1253603101724785
0_0_0_10_14_32,0,0,30,38,826,30,awgn,-22.0,101,826,826,826,826,826,826,1,1,1,1,1,1,5.464732178597092,5.4647332290882265,5.464733222484388,5.464733231851934,5.46473321854902,5.464733115980575
0_0_0_10_14_32,0,0,31,39,928,31,awgn,-22.0,101,928,928,928,928,928,928,1,1,1,1,1,1,5.25822387426515,5.2582242394930665,5.25822423713811,5.258224241251586,5.25822423811297,5.258224339639406
0_0_0_10_14_32,0,0,32,40,761,32,awgn,-22.0,101,761,761,761,761,761,761,1,1,1,1,1,1,7.163015541842945,7.163013962942365,7.163013961233762,7.163013959869452,7.163013956057769,7.163013932195601
0_0_0_10_14_32,0,0,33,41,590,33,awgn,-22.0,101,590,590,590,590,590,590,1,1,1,1,1,1,5.442521733768569,5.442521679685612,5.442521680864259,5.4425216811873325,5.4425216797076414,5.442521614107362
0_0_0_10_14_32,0,0,34,42,936,34,awgn,-22.0,101,936,936,936,936,936,936,1,1,1,1,1,1,6.221267789594299,6.2212680599764125,6.221268065053604,6.221268057237021,6.2212680621106395,6.221267988521224
0_0_0_10_14_32,2,1,0,8,803,35,awgn,-22.0,101,803,803,803,803,803,803,1,1,1,1,1,1,5.06534549020353,5.065346273152269,5.065346279703032,5.0653462733384576,5.065346281504666,5.06534615321515
0_0_0_10_14_32,2,1,1,9,826,36,awgn,-22.0,101,826,826,826,826,826,826,1,1,1,1,1,1,6.926101291343852,6.926100056587958,6.926100059694116,6.926100055550389,6.926100052613928,6.926099994676193
0_0_0_10_14_32,2,1,2,10,922,37,awgn,-22.0,101,922,922,922,922,922,922,1,1,1,1,1,1,5.324624594850316,5.324625746328138,5.3246257481863735,5.324625749482389,5.3246257624261375,5.324625865071894
0_0_0_10_14_32,2,1,3,11,718,38,awgn,-22.0,101,718,718,718,718,718,718,1,1,1,1,1,1,5.750466843680249,5.750466701482654,5.75046670159551,5.750466703461661,5.750466706086903,5.750466508320656
0_0_0_10_14_32,2,1,4,12,86,39,awgn,-22.0,101,86,86,86,86,86,86,1,1,1,1,1,1,5.190166124726994,5.190168689230742,5.19016869037067,5.190168688387285,5.190168690109328,5.190168784150187
0_0_0_10_14_32,2,1,5,13,468,40,awgn,-22.0,101,468,468,468,468,468,468,1,1,1,1,1,1,4.8338494325690595,4.833849619849076,4.83384962505337,4.833849617342379,4.833849625356631,4.833849903360625
0_0_0_10_14_32,2,1,6,14,89,41,awgn,-22.0,101,89,89,89,89,89,89,1,1,1,1,1,1,5.06649067052955,5.066490535403629,5.066490534362225,5.066490535179068,5.066490535526745,5.066490648775299
0_0_0_10_14_32,2,1,7,15,713,42,awgn,-22.0,101,713,713,713,713,713,713,1,1,1,1,1,1,5.483135704715957,5.48313538346603,5.483135378532731,5.48313538067492,5.483135379434997,5.483135338613215
0_0_0_10_14_32,2,1,8,16,865,43,awgn,-22.0,101,865,865,865,865,865,865,1,1,1,1,1,1,5.058676758075774,5.058676143532702,5.058676143693194,5.05867614682881,5.05867614422716,5.05867618509794
0_0_0_10_14_32,2,1,9,17,492,44,awgn,-22.0,101,492,492,492,492,492,492,1,1,1,1,1,1,5.207019812975762,5.207018033688354,5.207018030334125,5.207018033759411,5.207018027782299,5.207018095970984
0_0_0_10_14_32,2,1,10,18,765,45,awgn,-22.0,101,765,765,765,765,765,765,1,1,1,1,1,1,5.271037671223137,5.271039437123872,5.271039435135149,5.271039435742919,5.27103942729053,5.2710393948536725
0_0_0_10_14_32,2,1,11,19,1023,46,awgn,-22.0,101,1023,1023,1023,1023,1023,1023,1,1,1,1,1,1,6.874563785440366,6.874563754478259,6.874563753600828,6.874563751772356,6.87456375672723,6.874563635915672
0_0_0_10_14_32,2,1,12,20,597,47,awgn,-22.0,101,597,597,597,597,597,597,1,1,1,1,1,1,3.552859598771745,3.5528606772635323,3.552860680382743,3.5528606767667026,3.552860679591271,3.552860631791552
0_0_0_10_14_32,2,1,13,21,562,48,awgn,-22.0,101,562,562,562,562,562,562,1,1,1,1,1,1,5.800380609106506,5.800380032686213,5.800380032751061,5.800380032488084,5.800380028016417,5.800380038678881
0_0_0_10_14_32,2,1,14,22,478,49,awgn,-22.0,101,478,478,478,478,478,478,1,1,1,1,1,1,3.4065950797056166,3.4065945415499286,3.4065945407570144,3.406594542380297,3.4065945420664456,3.4065946304042667
0_0_0_10_14_32,2,1,15,23,267,50,awgn,-22.0,101,267,267,267,267,267,267,1,1,1,1,1,1,7.45927004684401,7.459269366850629,7.4592693628816225,7.459269363888526,7.459269363357761,7.459269016785051
0_0_0_10_14_32,2,1,16,24,917,51,awgn,-22.0,101,917,917,917,917,917,917,1,1,1,1,1,1,7.367754005129611,7.367754232407883,7.367754231427416,7.367754233937984,7.367754234996557,7.367754128125242
0_0_0_10_14_32,2,1,17,25,656,52,awgn,-22.0,101,656,656,656,656,656,656,1,1,1,1,1,1,4.284272870952031,4.284272777431432,4.2842727698046685,4.284272776710403,4.284272770030814,4.284272724399278
0_0_0_10_14_32,2,1,18,26,889,53,awgn,-22.0,101,889,889,889,889,889,889,1,1,1,1,1,1,6.0234564700555095,6.023455062225297,6.023455065677523,6.0234550584036795,6.023455059691313,6.023455180070741
0_0_0_10_14_32,2,1,19,27,510,54,awgn,-22.0,101,510,510,510,510,510,510,1,1,1,1,1,1,5.155136387531512,5.155136731324024,5.155136731673621,5.155136731751236,5.155136723717279,5.155136449739065
0_0_0_10_14_32,2,1,20,28,860,55,awgn,-22.0,101,860,860,860,860,860,860,1,1,1,1,1,1,3.711574621515296,3.711576105427069,3.7115761006600607,3.71157609926297,3.711576097451746,3.7115761778224825
0_0_0_10_14_32,2,1,21,29,553,56,awgn,-22.0,101,553,553,553,553,553,553,1,1,1,1,1,1,6.207085885263322,6.207085140658995,6.20708514216127,6.207085141296603,6.207085145368659,6.207085244349598
0_0_0_10_14_32,2,1,22,30,629,57,awgn,-22.0,101,629,629,629,629,629,629,1,1,1,1,1,1,4.584463921427872,4.584461684520648,4.584461686819387,4.5844616863079395,4.584461690042973,4.584461827387155
0_0_0_10_14_32,2,1,23,31,759,58,awgn,-22.0,101,759,759,759,759,759,759,1,1,1,1,1,1,2.569801603601819,2.569801276774038,2.5698012735575295,2.5698012728590935,2.5698012662873024,2.5698010270017995
0_0_0_10_14_32,2,1,24,32,874,59,awgn,-22.0,101,874,874,874,874,874,874,1,1,1,1,1,1,7.636530622302532,7.636528851384972,7.636528850358673,7.636528849414389,7.63652884900555,7.636528808471491
0_0_0_10_14_32,2,1,25,33,720,60,awgn,-22.0,101,720,720,720,720,720,720,1,1,1,1,1,1,7.731711236914975,7.731712050485057,7.731712056791332,7.731712049498865,7.7317120691084975,7.731712181882401
0_0_0_10_14_32,2,1,26,34,314,61,awgn,-22.0,101,314,314,314,314,314,314,1,1,1,1,1,1,6.04828609079624,6.048284996687184,6.048284996223739,6.048284995449903,6.048284995352971,6.048284774562105
0_0_0_10_14_32,2,1,27,35,602,62,awgn,-22.0,101,602,602,602,602,602,602,1,1,1,1,1,1,3.4204736798817352,3.4204743120971726,3.4204743099104027,3.420474311681348,3.420474304353423,3.4204742869083873
0_0_0_10_14_32,2,1,28,36,7,63,awgn,-22.0,101,7,7,7,7,7,7,1,1,1,1,1,1,5.420170677479399,5.420171237676539,5.420171238965873,5.420171238628134,5.420171240615935,5.4201712746256305
0_0_0_10_14_32,2,1,29,37,610,64,awgn,-22.0,101,610,610,610,610,610,610,1,1,1,1,1,1,6.538894970349744,6.538895388927202,6.538895384591966,6.5388953898102065,6.538895378186674,6.538895313104649
0_0_0_10_14_32,2,1,30,38,775,65,awgn,-22.0,101,775,775,775,775,775,775,1,1,1,1,1,1,7.4609700794532685,7.460971539450394,7.460971537902895,7.460971539373861,7.460971533526719,7.4609716308968155
0_0_0_10_14_32,2,1,31,39,912,66,awgn,-22.0,101,912,912,912,912,912,912,1,1,1,1,1,1,3.483012687857773,3.483014659891867,3.4830146578928174,3.48301465658974,3.4830146536797093,3.4830146470288175
0_0_0_10_14_32,2,1,32,40,768,67,awgn,-22.0,101,768,768,768,768,768,768,1,1,1,1,1,1,4.966172374519965,4.966172570514381,4.966172572391372,4.966172574671946,4.966172583806412,4.966172615915568
0_0_0_10_14_32,2,1,33,41,581,68,awgn,-22.0,101,581,581,581,581,581,581,1,1,1,1,1,1,6.321033770452946,6.321034535984518,6.321034539763174,6.321034536280602,6.321034535734858,6.32103437332797
0_0_0_10_14_32,2,1,34,42,93,69,awgn,-22.0,101,93,93,93,93,93,93,1,1,1,1,1,1,6.076688392776299,6.076688886579106,6.076688885710633,6.076688885344548,6.0766888846270835,6.076688844192626
0_0_0_10_14_32,3,2,0,8,222,70,awgn,-22.0,101,222,222,222,222,222,222,1,1,1,1,1,1,6.711140904700806,6.711141709395555,6.711141705353358,6.711141706505361,6.711141698654601,6.711141711911931
0_0_0_10_14_32,3,2,1,9,711,71,awgn,-22.0,101,711,711,711,711,711,711,1,1,1,1,1,1,5.4990484261233705,5.499047875288295,5.4990478785510435,5.499047873760409,5.49904787847776,5.499047813287912
0_0_0_10_14_32,3,2,2,10,871,72,awgn,-22.0,101,871,871,871,871,871,871,1,1,1,1,1,1,5.96892628792286,5.968926650218982,5.968926656922051,5.968926650389131,5.968926659047366,5.9689265434056695
0_0_0_10_14_32,3,2,3,11,718,73,awgn,-22.0,101,718,718,718,718,718,718,1,1,1,1,1,1,6.310943152668365,6.310942071102199,6.3109420712089035,6.310942070473367,6.310942071078125,6.310942194602553
0_0_0_10_14_32,3,2,4,12,107,74,awgn,-22.0,101,107,107,107,107,107,107,1,1,1,1,1,1,6.8670861320928855,6.867085843685104,6.867085841804461,6.867085843982438,6.8670858431608455,6.867085961344132
0_0_0_10_14_32,3,2,5,13,468,75,awgn,-22.0,101,468,468,468,468,468,468,1,1,1,1,1,1,3.9108680790391763,3.9108680437749936,3.9108680448973225,3.9108680448106083,3.9108680552609427,3.910868216517799
0_0_0_10_14_32,3,2,6,14,89,76,awgn,-22.0,101,89,89,89,89,89,89,1,1,1,1,1,1,7.340172441208318,7.340174719575096,7.34017472129641,7.340174722230249,7.340174717297147,7.340174779873471
0_0_0_10_14_32,3,2,7,15,713,77,awgn,-22.0,101,713,713,713,713,713,713,1,1,1,1,1,1,3.463061307499898,3.4630630466954178,3.463063051913715,3.4630630500867525,3.463063049825873,3.463063014927243
0_0_0_10_14_32,3,2,8,16,865,78,awgn,-22.0,101,865,865,865,865,865,865,1,1,1,1,1,1,5.789474212779516,5.78947348151501,5.789473484553164,5.789473482162051,5.789473484262398,5.789473540760765
0_0_0_10_14_32,3,2,9,17,492,79,awgn,-22.0,101,492,492,492,492,492,492,1,1,1,1,1,1,2.8803779870978587,2.880376226225581,2.8803762283215786,2.8803762279316314,2.880376226610346,2.880376079974032
0_0_0_10_14_32,3,2,10,18,765,80,awgn,-22.0,101,765,765,765,765,765,765,1,1,1,1,1,1,3.664505144944876,3.66450381788939,3.6645038206276563,3.664503821253164,3.664503824271762,3.664503763057338
0_0_0_10_14_32,3,2,11,19,1023,81,awgn,-22.0,101,1023,1023,1023,1023,1023,1023,1,1,1,1,1,1,4.134625458998185,4.134624937907917,4.134624935372822,4.134624937851065,4.134624929659515,4.134625119010782
0_0_0_10_14_32,3,2,12,20,597,82,awgn,-22.0,101,597,597,597,597,597,597,1,1,1,1,1,1,4.594513121302304,4.5945122702326975,4.594512267984307,4.594512270812753,4.594512271218139,4.594512166615064
0_0_0_10_14_32,3,2,13,21,562,83,awgn,-22.0,101,562,562,562,562,562,562,1,1,1,1,1,1,4.628934867200166,4.628934329853931,4.628934327562778,4.628934328749267,4.628934326754335,4.62893446769443
0_0_0_10_14_32,3,2,14,22,478,84,awgn,-22.0,101,478,478,478,478,478,478,1,1,1,1,1,1,3.655080240301491,3.6550795565945378,3.6550795517048407,3.6550795595624965,3.6550795607470263,3.655079585711079
0_0_0_10_14_32,3,2,15,23,267,85,awgn,-22.0,101,267,267,267,267,267,267,1,1,1,1,1,1,5.608768260531599,5.608767719503388,5.608767718507192,5.6087677202529065,5.608767712715111,5.608767788056931
0_0_0_10_14_32,3,2,16,24,917,86,awgn,-22.0,101,917,917,917,917,917,917,1,1,1,1,1,1,5.745493946002954,5.745493462738506,5.745493463779505,5.745493461878381,5.745493467113039,5.745493549737159
0_0_0_10_14_32,3,2,17,25,656,87,awgn,-22.0,101,656,656,656,656,656,656,1,1,1,1,1,1,7.419261312796803,7.4192634591374516,7.419263457673706,7.4192634564320095,7.419263456548991,7.419263467868339
0_0_0_10_14_32,3,2,18,26,889,88,awgn,-22.0,101,889,889,889,889,889,889,1,1,1,1,1,1,3.4912815468078335,3.4912784612584993,3.4912784645821198,3.4912784608091134,3.4912784617514165,3.4912786110650256
0_0_0_10_14_32,3,2,19,27,510,89,awgn,-22.0,101,510,510,510,510,510,510,1,1,1,1,1,1,3.403397791892873,3.4033978460324548,3.403397844048338,3.403397849864269,3.4033978522399027,3.4033978550026123
0_0_0_10_14_32,3,2,20,28,860,90,awgn,-22.0,101,860,860,860,860,860,860,1,1,1,1,1,1,4.493843272216911,4.493840637206682,4.493840645614595,4.4938406369065795,4.4938406440564025,4.493840605900131
0_0_0_10_14_32,3,2,21,29,553,91,awgn,-22.0,101,553,553,553,553,553,553,1,1,1,1,1,1,5.657227293190638,5.657226624696861,5.657226629108457,5.657226624957311,5.657226630661086,5.657226505238388
0_0_0_10_14_32,3,2,22,30,629,92,awgn,-22.0,101,629,629,629,629,629,629,1,1,1,1,1,1,6.195800514621,6.195802103344442,6.1958020995647125,6.195802108512453,6.195802100350725,6.19580201717993
0_0_0_10_14_32,3,2,23,31,759,93,awgn,-22.0,101,759,759,759,759,759,759,1,1,1,1,1,1,4.458819175318749,4.458819336314239,4.458819335601608,4.458819336982503,4.458819340276385,4.458819325443967
0_0_0_10_14_32,3,2,24,32,874,94,awgn,-22.0,101,874,874,874,874,874,874,1,1,1,1,1,1,6.148408963287392,6.148406971492503,6.148406969044881,6.148406973262764,6.148406973374783,6.148406795313582
0_0_0_10_14_32,3,2,25,33,720,95,awgn,-22.0,101,720,720,720,720,720,720,1,1,1,1,1,1,6.913420228454913,6.9134208661854455,6.913420865576717,6.913420865390542,6.913420861768415,6.913421041745252
0_0_0_10_14_32,3,2,26,34,314,96,awgn,-22.0,101,314,314,314,314,314,314,1,1,1,1,1,1,4.544853987285856,4.544854630251911,4.544854631177041,4.544854628019462,4.544854627162299,4.544854517475626
0_0_0_10_14_32,3,2,27,35,602,97,awgn,-22.0,101,602,602,602,602,602,602,1,1,1,1,1,1,6.561225159023034,6.561223856148938,6.561223856037072,6.561223854864754,6.561223860332282,6.561223974502232
0_0_0_10_14_32,3,2,28,36,7,98,awgn,-22.0,101,7,7,7,7,7,7,1,1,1,1,1,1,4.068061447330841,4.068062842386342,4.068062842056697,4.068062840535817,4.0680628431672,4.068063000076542
0_0_0_10_14_32,3,2,29,37,610,99,awgn,-22.0,101,610,610,610,610,610,610,1,1,1,1,1,1,4.141178979871749,4.141178052862319,4.141178053228173,4.1411780536504805,4.141178052707454,4.141178049987203
0_0_0_10_14_32,3,2,30,38,778,100,awgn,-22.0,101,778,778,778,778,778,778,1,1,1,1,1,1,6.387403621197842,6.387403562649397,6.3874035621755585,6.387403562608447,6.387403555704178,6.387403584765032
0_0_0_10_14_32,3,2,31,39,897,101,awgn,-22.0,101,897,897,897,897,897,897,1,1,1,1,1,1,5.492664080327886,5.492664434540318,5.492664439293209,5.492664435789013,5.4926644378282585,5.492664408126147
0_0_0_10_14_32,3,2,32,40,740,102,awgn,-22.0,101,740,740,740,740,740,740,1,1,1,1,1,1,4.754526104179996,4.754525606384964,4.754525603649627,4.754525605430787,4.754525602622937,4.754525637455078
0_0_0_10_14_32,3,2,33,41,590,103,awgn,-22.0,101,590,590,590,590,590,590,1,1,1,1,1,1,4.595982974289042,4.595983891601701,4.595983892774249,4.59598389422684,4.595983894208185,4.595983706939958
0_0_0_10_14_32,3,2,34,42,930,104,awgn,-22.0,101,930,930,930,930,930,930,1,1,1,1,1,1,6.259086214541554,6.259086706607456,6.259086704336515,6.259086706540389,6.259086700059445,6.25908671047452
0_0_0_10_14_32,4,3,0,8,803,105,awgn,-22.0,101,803,803,803,803,803,803,1,1,1,1,1,1,6.81873169597483,6.818730505131399,6.818730506193812,6.818730504872574,6.81873051102793,6.818730462140029
0_0_0_10_14_32,4,3,1,9,711,106,awgn,-22.0,101,711,711,711,711,711,711,1,1,1,1,1,1,4.980857157857127,4.980857889924856,4.980857888394096,4.980857895101805,4.980857897068452,4.980857781946327
0_0_0_10_14_32,4,3,2,10,871,107,awgn,-22.0,101,871,871,871,871,871,871,1,1,1,1,1,1,6.2440523763933555,6.244053409534775,6.24405341552141,6.244053405831781,6.244053408164515,6.244053345044266
0_0_0_10_14_32,4,3,3,11,718,108,awgn,-22.0,101,718,718,718,718,718,718,1,1,1,1,1,1,7.16675049588326,7.166750946973988,7.166750946477164,7.166750945063763,7.166750948001509,7.166750909338014
0_0_0_10_14_32,4,3,4,12,86,109,awgn,-22.0,101,86,86,86,86,86,86,1,1,1,1,1,1,3.4249838758037954,3.424984377613705,3.424984374554487,3.424984380159347,3.4249843713816572,3.424984508041877
0_0_0_10_14_32,4,3,5,13,468,110,awgn,-22.0,101,468,468,468,468,468,468,1,1,1,1,1,1,5.514235445273608,5.514235763048838,5.514235762660833,5.51423576426333,5.514235758043743,5.514235578726485
0_0_0_10_14_32,4,3,6,14,89,111,awgn,-22.0,101,89,89,89,89,89,89,1,1,1,1,1,1,6.003899280743231,6.003899853600794,6.003899855037785,6.00389985091385,6.003899854443149,6.003899817089523
0_0_0_10_14_32,4,3,7,15,713,112,awgn,-22.0,101,713,713,713,713,713,713,1,1,1,1,1,1,5.378083177835626,5.378083384270828,5.3780833826285726,5.378083384753419,5.378083385845315,5.378083447707743
0_0_0_10_14_32,4,3,8,16,865,113,awgn,-22.0,101,865,865,865,865,865,865,1,1,1,1,1,1,6.687518642902478,6.687518976897337,6.687518974060575,6.687518980299027,6.6875189767138385,6.687518946054773
0_0_0_10_14_32,4,3,9,17,492,114,awgn,-22.0,101,492,492,492,492,492,492,1,1,1,1,1,1,5.639038459966253,5.639038113101198,5.6390381140764,5.639038109543019,5.639038113371956,5.639037986540422
0_0_0_10_14_32,4,3,10,18,765,115,awgn,-22.0,101,765,765,765,765,765,765,1,1,1,1,1,1,7.181927316589087,7.181926216188275,7.181926212896176,7.181926216941293,7.181926221615212,7.181926460377234
0_0_0_10_14_32,4,3,11,19,1023,116,awgn,-22.0,101,1023,1023,1023,1023,1023,1023,1,1,1,1,1,1,6.097125810043847,6.097126750214844,6.097126752542595,6.097126748543683,6.097126747984529,6.097126702128122
0_0_0_10_14_32,4,3,12,20,597,117,awgn,-22.0,101,597,597,597,597,597,597,1,1,1,1,1,1,5.608387770249317,5.60838851164699,5.608388513434872,5.608388510663204,5.60838851165526,5.60838850269988
0_0_0_10_14_32,4,3,13,21,562,118,awgn,-22.0,101,562,562,562,562,562,562,1,1,1,1,1,1,8.004529230711434,8.004528605448796,8.004528608768211,8.004528603919336,8.004528610179719,8.004528605371984
0_0_0_10_14_32,4,3,14,22,478,119,awgn,-22.0,101,478,478,478,478,478,478,1,1,1,1,1,1,4.608431549724771,4.608431986208825,4.608431996214193,4.608431984947075,4.608431988085771,4.608431872019545
0_0_0_10_14_32,4,3,15,23,267,120,awgn,-22.0,101,267,267,267,267,267,267,1,1,1,1,1,1,6.861744963956181,6.861745930286083,6.86174593286244,6.86174592888955,6.8617459276380535,6.861745874539105
0_0_0_10_14_32,4,3,16,24,917,121,awgn,-22.0,101,917,917,917,917,917,917,1,1,1,1,1,1,2.5634185131069174,2.5634189062837844,2.563418907745334,2.5634189067473807,2.563418921983464,2.5634189238974576
0_0_0_10_14_32,4,3,17,25,656,122,awgn,-22.0,101,656,656,656,656,656,656,1,1,1,1,1,1,6.2294220511785685,6.229422070638256,6.229422065772733,6.229422070659546,6.229422068875593,6.229422010978871
